Designator,Mid X,Mid Y,Rotation,Layer
C1,104.45,-74.141851,0.0,bottom
C10,93.4,-64.25,0.0,bottom
C11,109.2,-59.791851,180.0,bottom
C12,110.13,-70.041851,180.0,bottom
C13,104.1,-73.091851,270.0,bottom
C14,93.445,-68.091851,0.0,bottom
C15,93.45,-68.791851,0.0,bottom
C16,108.35,-60.891851,180.0,bottom
C17,108.95,-71.191851,180.0,bottom
C18,104.8,-73.091851,270.0,bottom
C19,103.4,-73.45,270.0,bottom
C2,104.45,-75.991851,270.0,bottom
C20,110.13,-69.341851,180.0,bottom
C21,92.75,-65.32,90.0,bottom
C22,92.75,-66.8,90.0,bottom
C23,111.75,-65.641851,90.0,top
C24,111.8,-63.491851,270.0,top
C25,93.5,-74.191851,0.0,bottom
C26,88.9,-61.191851,90.0,top
C27,87.8,-60.416851,90.0,top
C28,87.125,-62.091851,180.0,bottom
C29,85.25,-59.741851,180.0,bottom
C3,110.105,-57.691851,180.0,bottom
C30,91.75,-60.541851,0.0,bottom
C31,86.775,-71.191851,180.0,bottom
C32,85.93,-67.291851,180.0,bottom
C33,92.3,-69.941851,0.0,bottom
C34,87.0125,-77.041851,180.0,bottom
C35,86.1675,-73.141851,180.0,bottom
C36,92.4875,-75.441851,0.0,bottom
C4,110.13,-68.641851,180.0,bottom
C5,110.13,-67.941851,180.0,bottom
C6,93.4,-63.55,0.0,bottom
C7,93.2,-72.191851,90.0,bottom
C8,110.13,-67.241851,180.0,bottom
C9,110.5,-66.491851,180.0,bottom
D1,82.55,-61.1,90.0,top
D2,88.8,-70.461851,270.0,top
D3,88.8,-68.141851,270.0,top
D4,88.725,-66.166851,90.0,top
D5,88.35,-74.391851,90.0,top
J1,111.7,-59.141851,270.0,top
J3,109.905,-80.212351,0.0,top
J4,84.3,-67.191851,270.0,top
J5,102.835,-80.212351,0.0,top
J6,95.0,-80.216851,0.0,top
L1,91.425,-62.491851,180.0,bottom
L2,91.1,-71.741851,180.0,bottom
L3,91.3125,-77.441851,180.0,bottom
Q1,83.2625,-63.716851,0.0,bottom
Q2,83.25,-67.9125,0.0,bottom
R1,83.25,-79.45,270.0,top
R10,112.3,-68.345,90.0,top
R11,103.25,-75.05,90.0,bottom
R12,93.85,-77.741851,90.0,bottom
R13,93.5,-76.641851,180.0,bottom
R14,90.6,-79.3,90.0,top
R15,91.3,-79.3,90.0,top
R17,107.8,-67.55,270.0,bottom
R18,86.4,-74.4,270.0,top
R19,85.25,-59.041851,180.0,bottom
R2,82.3,-61.666851,180.0,bottom
R20,88.05,-57.241851,180.0,bottom
R21,85.93,-66.491851,180.0,bottom
R22,87.43,-66.491851,180.0,bottom
R23,86.1675,-72.341851,180.0,bottom
R24,87.6675,-72.341851,180.0,bottom
R25,91.0,-59.191851,0.0,bottom
R26,91.52,-67.691851,0.0,bottom
R27,91.8,-73.491851,270.0,bottom
R28,111.65,-71.15,0.0,top
R29,114.95,-73.08,90.0,bottom
R3,82.3,-65.8,180.0,bottom
R30,115.2,-75.75,0.0,bottom
R31,109.45,-75.55,90.0,top
R32,109.4,-77.88,90.0,top
R33,115.15,-74.8,180.0,bottom
R34,109.7,-74.35,0.0,top
R4,83.85,-71.55,180.0,top
R5,85.25,-62.15,0.0,top
R6,84.45,-70.1,0.0,bottom
R7,84.4875,-61.616851,0.0,bottom
R8,93.4,-59.3,0.0,bottom
R9,113.05,-68.35,90.0,top
SW1,86.6,-79.316851,0.0,top
SW2,83.625,-74.691851,270.0,top
U1,109.8025,-75.181851,0.0,bottom
U2,110.675,-55.216851,180.0,bottom
U3,100.8,-65.281851,0.0,bottom
U4,98.55,-75.326851,0.0,bottom
U5,99.25,-65.511851,0.0,top
U6,88.2,-59.629351,180.0,bottom
U7,88.7125,-68.641851,180.0,bottom
U8,88.95,-74.491851,180.0,bottom
Y1,90.7,-65.15,0.0,bottom
Y2,110.25,-64.791851,90.0,top
